names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
S100P,7.23636,0.74493444,4.608870990898755e-13,1.043773724409424e-12,0.029604306080884494
DUSP5,7.176617,0.386534,7.145733452762504e-13,1.6146454144955455e-12,0.05079284259528659
ICAM1,7.100877,0.41431662,1.2396797474311778e-12,2.7948635747265967e-12,0.054120599359906894
IFI27,7.001686,0.28069577,2.5290054597791406e-12,5.663388065411454e-12,0.06931189991271458
CASP8,6.970023,0.48316297,3.168892952546564e-12,7.0647257138064816e-12,0.040118562700029094
KRT6A/B/C,6.9585657,0.65039706,3.4375481432131945e-12,7.646634869680906e-12,0.032699301716613324
IL27RA,6.8929152,0.5606482,5.466040166682889e-12,1.21051022275433e-11,0.03502327611288915
IL3RA,6.8859076,0.71585345,5.742027005628651e-12,1.2688231860119824e-11,0.028698719813791098
HGF,6.8204026,0.6036555,9.078579317082183e-12,1.9929074334208915e-11,0.033270293860925226
CD209,6.818064,0.5301704,9.227554865893757e-12,2.0211777725951098e-11,0.04032586558044807
VPREB3,6.805685,0.50598323,1.00569359456709e-11,2.1980333802656268e-11,0.04060590631364562
VCAM1,6.786489,0.014628139,1.148953177747514e-11,2.5056691305561253e-11,0.0651440209485016
ITGB6,6.7711635,0.31945777,1.2775091718047295e-11,2.7799710456011612e-11,0.04683226651149258
PHLDA2,6.745337,0.61771935,1.5267221112079365e-11,3.315073391147819e-11,0.029837067209775966
PRTN3,6.7275558,0.7169932,1.725367842560245e-11,3.738296992213864e-11,0.029524294442828048
TGFB1,6.712923,0.40898672,1.9076402852120458e-11,4.12429357558803e-11,0.0476287459994181
IFNA1/13,6.6682243,0.7794601,2.589171555239632e-11,5.5856912215406713e-11,0.02578556881000873
TNFRSF17,6.6583447,0.87289196,2.7692901480662768e-11,5.961418146697513e-11,0.023919842886238
SATB2,6.611491,0.50946575,3.804676166780641e-11,8.155205231150796e-11,0.03666715158568519
FFAR2,6.566793,0.6472965,5.141050038805172e-11,1.0996134805222174e-10,0.030680826302007566
HSD17B2,6.564278,0.70054907,5.228544945369296e-11,1.115943174907178e-10,0.03028440500436427
IL17B,6.5427814,0.71975523,6.03849886498286e-11,1.2806223228491194e-10,0.02811318009892348
LAG3,6.53632,0.74574363,6.305088027688415e-11,1.3343325826038274e-10,0.02739307535641548
HSP90B1,6.535754,0.16483569,6.32897819992625e-11,1.3365626958072103e-10,0.12883328484143147
CD34,6.5014005,0.26886594,7.957577805104868e-11,1.6769548174547313e-10,0.059645039278440504
LIF,6.4934916,0.40833953,8.386933290714466e-11,1.763722736135542e-10,0.03791824265347687
TSHZ2,6.4894185,0.5561956,8.616837719098707e-11,1.8082713955592883e-10,0.03437954611579866
CDKN1A,6.4732714,0.31056073,9.59036107710563e-11,2.0083580414608233e-10,0.08343031713703812
PF4/V1,6.4629354,1.056791,1.0269095467673394e-10,2.146005128004398e-10,0.020319319173697992
GDF15,6.4534135,-0.5865218,1.0935849276982317e-10,2.2805802346373538e-10,0.10660096013965668
CD300A,6.417273,0.60767287,1.3873684310737983e-10,2.8752708064283065e-10,0.03159004946173989
BIRC5,6.3775635,0.90590686,1.799276065206926e-10,3.721230043950688e-10,0.022414169333721267
IGHD,6.372878,0.63421065,1.8551331609162366e-10,3.8209635680599853e-10,0.031430026185627
FN1,6.34898,0.33692458,2.1674759876357942e-10,4.4368986986164214e-10,0.0557972068664533
CTSW,6.3424215,0.642408,2.2618131753020193e-10,4.620561200974125e-10,0.029549752691300554
BTK,6.3359284,0.57449794,2.3591654946357935e-10,4.809622525723889e-10,0.03272475996508583
GPBAR1,6.251037,0.5639285,4.077353374453243e-10,8.262005521918413e-10,0.03406677334885074
IL11,6.2504053,0.47460482,4.09389461138404e-10,8.278764658576614e-10,0.03511419842886238
CSF3,6.2207513,0.6719411,4.947792953024024e-10,9.965273130738527e-10,0.028800552807681117
RARG,6.1203585,0.42457166,9.336503789224415e-10,1.872913886375479e-09,0.040005819028222284
WNT3,6.0955873,0.43720978,1.0903627813153513e-09,2.1785491898137057e-09,0.04206066336921734
DDX58,6.0675116,0.30466157,1.299073731275214e-09,2.5903840737181058e-09,0.05789933081175444
EPHB3,6.0608115,0.386739,1.354362978332531e-09,2.6952631039977405e-09,0.04447919697410532
QRFPR,6.0287867,0.6633297,1.651953201351496e-09,3.2809626082397763e-09,0.02754582484725051
LAIR1,6.01579,0.4916601,1.790113015030683e-09,3.541310529734612e-09,0.033284841431480944
ATF3,5.994774,-0.45005113,2.037687753245671e-09,4.023127102561966e-09,0.0653185917951702
ETS1,5.9883313,0.19212362,2.120048300314323e-09,4.177496749241412e-09,0.06609324992726215
HLA-DQA1,5.970794,0.12984374,2.361013506573877e-09,4.643171945148234e-09,0.051472941518766364
LAMA3,5.936866,0.7018136,2.905226242654613e-09,5.702218566465231e-09,0.025610997963340123
SELPLG,5.889196,0.62715936,3.880797021079899e-09,7.587261363478475e-09,0.029287896421297643
XCL1/2,5.8865967,0.47359398,3.942297204152967e-09,7.692474661514854e-09,0.040387692755309866
CCL26,5.8628387,0.799762,4.550207168053974e-09,8.861395671638185e-09,0.022530549898167006
ADIPOQ,5.847249,0.61764747,4.997692105328892e-09,9.713960771716932e-09,0.02738943846377655
